bank_IDRSSD,holder_RSSD,name,total_assets,failed
852218,1039502,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",3201942000.0,False
480228,1073757,"BANK OF AMERICA, NATIONAL ASSOCIATION",2418508000.0,False
476810,1951350,"CITIBANK, N.A.",1764139000.0,False
451965,1120754,"WELLS FARGO BANK, NATIONAL ASSOCIATION",1717531000.0,False
504713,1119794,U.S. BANK NATIONAL ASSOCIATION,585135605.0,False
817824,1069778,"PNC BANK, NATIONAL ASSOCIATION",552307127.0,False
852320,1074156,TRUIST BANK,545969000.0,False
112837,2277860,"CAPITAL ONE, NATIONAL ASSOCIATION",453313240.0,False
541101,3587146,"BANK OF NEW YORK MELLON, THE",324646000.0,False
35301,1111435,STATE STREET BANK AND TRUST COMPANY,298020000.0,False
3303298,1132449,"CITIZENS BANK, NATIONAL ASSOCIATION",226401591.0,False
4114567,4114567,FIRST REPUBLIC BANK,212638872.0,True
802866,1031449,SILICON VALLEY BANK,209026000.0,True
723112,1070345,"FIFTH THIRD BANK, NATIONAL ASSOCIATION",206289179.0,False
501105,1037003,MANUFACTURERS AND TRADERS TRUST COMPANY,200262969.0,False
280110,1068025,KEYBANK NATIONAL ASSOCIATION,187590465.0,False
12311,1068191,"HUNTINGTON NATIONAL BANK, THE",182325674.0,False
3284070,1562859,ALLY BANK,181890000.0,False
1394676,1275216,AMERICAN EXPRESS NATIONAL BANK,155378079.0,False
210434,1199611,"NORTHERN TRUST COMPANY, THE",154522864.0,False
233031,3242838,REGIONS BANK,154203000.0,False
30810,3846375,DISCOVER BANK,129592344.0,False
2942690,2942690,SIGNATURE BANK,110363650.0,True
491224,1075612,FIRST-CITIZENS BANK & TRUST COMPANY,109180139.0,False
1216022,4504654,SYNCHRONY BANK,96300000.0,False
694904,2132932,"FLAGSTAR BANK, NATIONAL ASSOCIATION",90036656.0,False
276579,276579,"ZIONS BANCORPORATION, NATIONAL ASSOCIATION",89544919.0,False
60143,1199844,COMERICA BANK,85531000.0,False
485559,1094640,FIRST HORIZON BANK,78672073.0,False
761806,1145476,"WEBSTER BANK, NATIONAL ASSOCIATION",71166370.0,False
3138146,2349815,WESTERN ALLIANCE BANK,67683841.0,False
197478,2734233,EAST WEST BANK,64087895.0,False
395238,1078846,SYNOVUS BANK,59629623.0,False
229801,1048773,VALLEY NATIONAL BANK,57451653.0,False
682563,1102367,FROST BANK,52953767.0,False
606046,606046,CADENCE BANK,48668073.0,False
339858,1883693,"BOKF, NATIONAL ASSOCIATION",47596192.0,False
208244,1098303,OLD NATIONAL BANK,46490438.0,False
1929247,1133437,"SOUTHSTATE BANK, N.A.",43900126.0,False
379920,3005332,FIRST NATIONAL BANK OF PENNSYLVANIA,43726588.0,False
2925666,2925657,PINNACLE BANK,41842515.0,False
494261,3153130,PACIFIC WESTERN BANK,41183756.0,False
917742,1199563,"ASSOCIATED BANK, NATIONAL ASSOCIATION",39358786.0,False
936855,1049828,"UMB BANK, NATIONAL ASSOCIATION",38279055.0,False
