doc_id,date,speaker,n_sentences,n_flagged,n_design,n_protective,n_expansive,n_neutral_design,S,S_norm,design_zero_flag
8,2019-10-16,Lael Brainard,137,0,12,0,8,4,-0.6667,-0.0584,False
9,2020-02-05,Lael Brainard,132,0,18,0,2,16,-0.1111,-0.0152,False
10,2020-08-13,Lael Brainard,46,0,2,0,0,2,0.0,0.0,False
11,2021-05-24,Lael Brainard,94,0,9,2,0,7,0.2222,0.0213,False
12,2021-06-28,Randal K. Quarles,133,0,16,0,7,9,-0.4375,-0.0526,False
2,2021-08-05,Christopher J. Waller,125,0,14,3,6,5,-0.2143,-0.024,False
1,2022-01-20,Board of Governors of the Federal Reserve System,329,0,65,18,10,37,0.1231,0.0243,False
3,2022-02-18,Lael Brainard,74,0,3,3,0,0,1.0,0.0405,False
4,2022-05-26,Lael Brainard,45,0,4,4,0,0,1.0,0.0889,False
5,2022-10-14,Christopher J. Waller,97,0,4,2,1,1,0.25,0.0103,False
6,2023-04-18,Michelle W. Bowman,126,0,21,7,5,9,0.0952,0.0159,False
