bank_IDRSSD,name,doc_id,event_date,t0,CAR,alpha,beta,n_est,delisted_flag,S,S_norm,n_design,char_quarter,char_lookahead,filing_type,uninsured_share,size,ROA,NPL_ratio,equity_ratio,deposit_reliance,failed,score_rf,is_trust_or_specialized,score_ols
613008,ROCKLAND TRUST COMPANY,1,2022-01-20,2022-01-20,0.0480206823783405,-0.0006251986674016,1.1300468574125884,200,False,0.1231,0.0243,65,2021-12-31,False,41,0.3289380086610208,16.832059356411225,0.0060826042444982,0.0020437901507974,0.144471044911598,0.9805678659934935,False,-0.0158760513078972,False,-0.0166832689695602
433608,TOMPKINS COMMUNITY BANK,1,2022-01-20,2022-01-20,0.0184760910207614,-0.0003015816642329,1.1431279059952912,200,False,0.1231,0.0243,65,2021-12-31,False,41,0.4421245931068176,14.713186301020398,0.0155503927840374,0.0072141956484305,0.0695409294537292,0.9256771295064,False,-0.0148771822868522,False,-0.0175491947527171
379920,FIRST NATIONAL BANK OF PENNSYLVANIA,1,2022-01-20,2022-01-20,0.0183858368571145,-0.0004216976256604,1.3357404386903038,200,False,0.1231,0.0243,65,2021-12-31,False,41,0.4184416243667491,17.491008832086965,0.0105374645050746,0.0036509862251006,0.1308755037394803,0.93666056529079,False,-0.0139327318777742,False,-0.0099135656336968
491224,FIRST-CITIZENS BANK & TRUST COMPANY,1,2022-01-20,2022-01-20,-0.0744278817352886,-0.0005237069177135,1.3323231843889225,200,False,0.1231,0.0243,65,2021-12-31,False,41,0.3887923165753141,17.87966625416299,0.0092972456794156,0.0039131611681027,0.0856701356485469,0.9692415058386328,False,-0.0173391233094819,False,-0.0070457123459857
246022,"BANK OF SOUTH CAROLINA, THE",1,2022-01-20,2022-01-20,0.0114197556059524,0.000732780155395,0.2904434928131895,200,False,0.1231,0.0243,65,2021-12-31,False,41,0.4391821276344801,13.428316021801658,0.0103113737353801,0.0026308559978022,0.078542297841254,0.975752519052734,False,0.0138078723296275,False,0.0211969779343315
437914,"WILMINGTON SAVINGS FUND SOCIETY, FSB",1,2022-01-20,2022-01-20,-0.0128792412129978,1.0775417543320468e-06,1.0542403822594613,200,False,0.1231,0.0243,65,2021-12-31,False,41,0.4385345964569767,16.571845335130327,0.0174137543427506,0.00332527516652,0.1276405172163529,0.972296720738562,False,-0.0135358011532707,True,-0.0097746266517213
761806,"WEBSTER BANK, NATIONAL ASSOCIATION",1,2022-01-20,2022-01-20,0.0185044789596469,-0.0005481470959641,1.473246803963836,200,False,0.1231,0.0243,65,2021-12-31,False,31,0.3459342563851471,17.36779773973727,0.0125494679697233,0.0050467258589945,0.101009304636831,0.9616495356872522,False,-0.0215936457984246,False,-0.0058287569871804
837000,"FIRST NATIONAL BANK OF LONG ISLAND, THE",1,2022-01-20,2022-01-20,0.0189072730728355,0.0004039446724482,0.7849164844978058,200,False,0.1231,0.0243,65,2021-12-31,False,41,0.5228019759038179,15.218462901280308,0.011113569811098,0.0003977409601692,0.1016561803112222,0.9074685086384164,False,-0.0209473840040695,False,-0.0106820358617879
510871,FIRSTBANK PUERTO RICO,1,2022-01-20,2022-01-20,-0.055713398941147,0.0007833787916732,1.293665663670367,200,False,0.1231,0.0243,65,2021-12-31,False,31,0.4810277312385186,16.849409190959044,0.0135974539708455,0.0203830940553882,0.1081567157236512,0.9617114044558916,False,-0.0182056510092615,False,-0.0264761108037157
245276,ORIENTAL BANK,1,2022-01-20,2022-01-20,-0.0153028135788971,0.0007190441521415,1.3476227683304858,200,False,0.1231,0.0243,65,2021-12-31,False,41,0.3223297163634205,16.098478690425,0.0146942475133447,0.0308079197588126,0.1031178466657597,0.980641632730103,False,-0.0174995369123359,False,-0.0214603033573476
