==============================================================================================================
RECONCILIATION — refactored pipeline against the pre-refactor values
==============================================================================================================

  Every headline number is recomputed by the new code and compared
  against config.FROZEN. The results are final; a mismatch here is a
  bug in the refactor, not a finding.

  key                                                               frozen       recomputed     abs diff  status
  -------------------------------------------------------------------------------------------------------------------------
  rq1.wide.ols.uninsured_share.coef                            -0.07713467      -0.07713467     0.00e+00  match
  rq1.wide.ols.uninsured_share.p                                0.00006744       0.00006744     0.00e+00  match
  rq1.wide.oos.OLS.rmse                                         0.09195066       0.09195066     0.00e+00  match
  rq1.wide.oos.RF.rmse                                          0.09129361       0.09129361     0.00e+00  match
  rq1.wide.oos.OLS.r2                                           0.02497642       0.02497642     0.00e+00  match
  rq1.wide.oos.RF.r2                                            0.03886107       0.03886107     0.00e+00  match
  rq1.narrow.oos.OLS.rmse                                       0.13194880       0.13194880     0.00e+00  match
  rq1.repeated.wide.full.rf_wins                               26.00000000      26.00000000     0.00e+00  match
  rq1.repeated.wide.pruned.rf_wins                              9.00000000       9.00000000     0.00e+00  match
  rq1.repeated.narrow.full.rf_wins                             23.00000000      23.00000000     0.00e+00  match
  rq1.repeated.narrow.pruned.rf_wins                           17.00000000      17.00000000     0.00e+00  match
  rq1.repeated.narrow.full.OLS.mean_r2                          0.01427315       0.01427315     0.00e+00  match
  rq1.repeated.narrow.full.RF.mean_r2                           0.03352837       0.03352837     0.00e+00  match
  rq1.transfer.r2                                               0.03020000       0.03020000     0.00e+00  match
  rq1.failed.wide.baseline.coef                                -0.07713467      -0.07713467     0.00e+00  match
  rq1.failed.wide.excluded.coef                                -0.03336049      -0.03336049     0.00e+00  match
  rq1.failed.wide.excluded.p                                    0.03134800       0.03134800     0.00e+00  match
  rq1.failed.narrow.excluded.coef                              -0.05945248      -0.05945248     0.00e+00  match
  rq1.failed.narrow.excluded.p                                  0.10458407       0.10458407     0.00e+00  match
  rq1.desc.N                                                  277.00000000     277.00000000     0.00e+00  match
  rq1.desc.uninsured_share.mean                                 0.39796361       0.39796361     3.82e-09  match
  rq1.desc.uninsured_share.sd                                   0.14440797       0.14440797     2.73e-09  match
  rq1.desc.uninsured_share.min                                  0.03228398       0.03228398     2.56e-09  match
  rq1.desc.uninsured_share.max                                  0.86517654       0.86517654     2.95e-09  match
  rq1.desc.size.mean                                           15.95225801      15.95225801     4.50e-09  match
  rq1.desc.size.sd                                              1.59677055       1.59677055     3.70e-10  match
  rq1.desc.size.min                                            12.85169049      12.85169049     1.74e-09  match
  rq1.desc.size.max                                            21.88702334      21.88702334     2.32e-09  match
  rq1.desc.ROA.mean                                             0.01227905       0.01227905     2.77e-09  match
  rq1.desc.ROA.sd                                               0.00388855       0.00388855     5.48e-11  match
  rq1.desc.ROA.min                                             -0.00190058      -0.00190058     3.36e-09  match
  rq1.desc.ROA.max                                              0.04227701       0.04227701     3.86e-09  match
  rq1.desc.NPL_ratio.mean                                       0.00460212       0.00460212     6.50e-10  match
  rq1.desc.NPL_ratio.sd                                         0.00446492       0.00446492     4.31e-09  match
  rq1.desc.NPL_ratio.min                                        0.00000000       0.00000000     0.00e+00  match
  rq1.desc.NPL_ratio.max                                        0.02529396       0.02529396     4.77e-09  match
  rq1.desc.equity_ratio.mean                                    0.09917691       0.09917691     2.72e-09  match
  rq1.desc.equity_ratio.sd                                      0.02343209       0.02343209     4.54e-09  match
  rq1.desc.equity_ratio.min                                     0.04188154       0.04188154     3.79e-09  match
  rq1.desc.equity_ratio.max                                     0.17729094       0.17729094     1.18e-09  match
  rq1.desc.deposit_reliance.mean                                0.92354411       0.92354411     1.33e-09  match
  rq1.desc.deposit_reliance.sd                                  0.05138319       0.05138319     3.72e-09  match
  rq1.desc.deposit_reliance.min                                 0.68858759       0.68858759     4.21e-09  match
  rq1.desc.deposit_reliance.max                                 0.99632617       0.99632617     2.61e-09  match
  rq1.corr.uninsured_share.size                                 0.35056473       0.35056473     3.81e-09  match
  rq1.corr.uninsured_share.ROA                                 -0.09333631      -0.09333631     7.30e-10  match
  rq1.corr.uninsured_share.NPL_ratio                           -0.09899051      -0.09899051     2.66e-09  match
  rq1.corr.uninsured_share.equity_ratio                         0.01268865       0.01268865     7.55e-10  match
  rq1.corr.uninsured_share.deposit_reliance                    -0.11197202      -0.11197202     6.12e-10  match
  rq1.corr.size.ROA                                             0.10984765       0.10984765     2.56e-09  match
  rq1.corr.size.NPL_ratio                                       0.14993497       0.14993497     2.99e-09  match
  rq1.corr.size.equity_ratio                                    0.06061249       0.06061249     3.96e-09  match
  rq1.corr.size.deposit_reliance                               -0.31792586      -0.31792586     1.55e-09  match
  rq1.corr.ROA.NPL_ratio                                        0.01100415       0.01100415     4.44e-09  match
  rq1.corr.ROA.equity_ratio                                     0.18961143       0.18961143     1.21e-09  match
  rq1.corr.ROA.deposit_reliance                                 0.02402644       0.02402644     2.73e-09  match
  rq1.corr.NPL_ratio.equity_ratio                               0.06551437       0.06551437     1.99e-09  match
  rq1.corr.NPL_ratio.deposit_reliance                          -0.08633964      -0.08633964     2.47e-09  match
  rq1.corr.equity_ratio.deposit_reliance                       -0.02464201      -0.02464201     3.19e-09  match
  rq2.unconditional.n_significant                               0.00000000       0.00000000     0.00e+00  match
  rq2.gamma1.event_level.coef                                   0.00562900       0.00562863     3.69e-07  match
  rq2.gamma1.event_level.se                                     0.01887400       0.01887397     2.82e-08  match
  rq2.gamma1.event_level.p                                      0.77230000       0.77230408     4.08e-06  match
  rq2.gamma1.pooled_ctrl.coef                                   0.00645400       0.00645428     2.76e-07  match
  rq2.gamma1.pooled_ctrl.se                                     0.01712900       0.01712870     2.99e-07  match
  rq2.gamma1.pooled_ctrl.p                                      0.71420000       0.71418685     1.32e-05  match
  rq2.corr.pearson                                              0.09890000       0.09891973     1.97e-05  match
  rq2.corr.spearman                                             0.01370000       0.01366746     3.25e-05  match
  rq3.delta1.uninsured.coef                                    -0.01877493      -0.01877493     2.14e-09  match
  rq3.delta1.uninsured.p                                        0.00032100       0.00032066     3.42e-07  match
  rq3.delta1.score_rf.coef                                      0.06011100       0.06011100     1.34e-09  match
  rq3.delta1.score_rf.p                                         0.33223300       0.33223292     8.33e-08  match
  rq3.delta1.score_ols.coef                                     0.01232232       0.01232232     1.27e-09  match
  rq3.delta1.score_ols.p                                        0.78214000       0.78213952     4.78e-07  match
  rq3.b.uninsured_share.coef                                   -0.00049680      -0.00049680     3.39e-09  match
  rq3.b.uninsured_share.se_twoway                               0.02093823       0.02093823     3.29e-09  match
  rq3.b.uninsured_share.p_event                                 0.98190000       0.98188477     1.52e-05  match
  rq3.b.score_rf.coef                                          -0.38507629      -0.38507629     2.94e-09  match
  rq3.b.score_rf.se_twoway                                      0.14229917       0.14229917     3.63e-09  match
  rq3.b.score_rf.p_event                                        0.01150000       0.01148834     1.17e-05  match
  rq3.b.score_ols.coef                                         -0.26387427      -0.26387427     4.94e-09  match
  rq3.corr.rf_uninsured.spearman                                0.05754306       0.05754306     7.67e-11  match
  rq3.corr.rf_ols.spearman                                      0.68145928       0.68145928     3.00e-09  match
  rq3.placebo.corr_S_time                                       0.60333196       0.60333196     5.93e-10  match
  rq3.custody_drop.b                                           -0.13939961      -0.13939961     7.43e-10  match
  rq3.custody_drop.p                                            0.06331900       0.06331919     1.93e-07  match
  rq2.robust.snorm.beta_per_sd.score_ols                       -0.13031909      -0.13031909     3.30e-09  match
  rq2.robust.snorm.beta_per_sd.score_rf                        -0.18087696      -0.18087696     3.89e-09  match
  rq2.robust.snorm.beta_per_sd.uninsured_share                  0.00041651       0.00041651     1.34e-09  match
  rq2.robust.snorm.gamma1_per_sd                                0.00353544       0.00353544     5.94e-11  match
  rq2.robust.snorm.signal_sd                                    0.04011294       0.04011294     2.74e-09  match
  rq2.robust.thresh9.beta_per_sd.score_ols                     -0.14043134      -0.14043134     2.14e-09  match
  rq2.robust.thresh9.beta_per_sd.score_rf                      -0.21249193      -0.21249193     9.17e-10  match
  rq2.robust.thresh9.beta_per_sd.uninsured_share               -0.00445453      -0.00445453     3.50e-09  match
  rq2.robust.thresh9.gamma1_per_sd                             -0.00250787      -0.00250787     3.38e-09  match
  rq2.robust.thresh9.signal_sd                                  0.29812720       0.29812720     1.10e-09  match
  rq2.robust.win_base.beta_per_sd.score_ols                    -0.13046948      -0.13046948     8.30e-10  match
  rq2.robust.win_base.beta_per_sd.score_rf                     -0.19039637      -0.19039637     3.16e-09  match
  rq2.robust.win_base.beta_per_sd.uninsured_share              -0.00024564      -0.00024564     1.50e-09  match
  rq2.robust.win_base.gamma1_per_sd                             0.00319124       0.00319124     3.38e-10  match
